Store,Name,Store Status,Address,City,State,Zip Code,Store Address,Report Date
3784,Hartig Drug #14 / Independence,A,200  1st St East,Independence,IA,50644,"200 1st St East
Independence, IA 50644
(42.468721, -91.893016)",10/01/2018
3789,Wal-Mart 1393 / Oskaloosa,A,2203 A Avenue West,Oskaloosa,IA,52577,"2203 A Avenue West
Oskaloosa, IA 52577
(41.298516, -92.669924)",10/01/2018
3790,Wal-Mart 0784 / Mt Pleasan,A,1045 N Grand Ave,Mt Pleasant,IA,52641,"1045 N Grand Ave
Mt Pleasant, IA 52641
(40.978416, -91.539034)",10/01/2018
3803,Strawberry Foods and Deli,A,128 W Mission,Strawberry Point,IA,52076,"128 W Mission
Strawberry Point, IA 52076
(42.683731, -91.535736)",10/01/2018
3808,Thriftway,A,300  4th St,La Porte City,IA,50651,"300 4th St
La Porte City, IA 50651
(42.316243, -92.190813)",10/01/2018
3811,Wal-Mart 1431 / Keokuk,A,300 North Park Dr,Keokuk,IA,52632,"300 North Park Dr
Keokuk, IA 52632
(40.418589, -91.407263)",10/01/2018
3813,CGI Foods,A,104 North Fillmore,Mount Ayr,IA,50854,"104 North Fillmore
Mount Ayr, IA 50854
(40.714826, -94.238806)",10/01/2018
3814,Costco Wholesale #788 / WDM,A,7205 Mills Civic Pkwy,West Des Moines,IA,50266,"7205 Mills Civic Pkwy
West Des Moines, IA 50266
(41.561342, -93.806489)",10/01/2018
3816,Swils,I,200 E Oak St,Red Oak,IA,51566,"200 E Oak St
Red Oak, IA 51566
(41.016691, -95.230032)",10/01/2018
3818,Round Window Liquor,A,703 W Pleasant St,Knoxville,IA,50138,"703 W Pleasant St
Knoxville, IA 50138
(41.320746, -93.105641)",10/01/2018
3820,"Charlie's Wine and Spirits,",A,507 W 19th St,Sioux City,IA,51103,"507 W 19th St
Sioux City, IA 51103
(42.510535, -96.420193)",10/01/2018
3822,The Secret Cellar,A,1205 Curtis Br Rd NE,Shueyville,IA,52338,"1205 Curtis Br Rd NE
Shueyville, IA 52338
(41.847398, -91.646067)",10/01/2018
3825,Shop N Save #2 / E 14th,A,1372 E 14th St,Des Moines,IA,50316,"1372 E 14th St
Des Moines, IA 50316
(41.604893, -93.600499)",10/01/2018
3826,Lakeside Hotel & Casino,A,777 Casino Dr,Osceola,IA,50213,"777 Casino Dr
Osceola, IA 50213
(41.040078, -93.797561)",10/01/2018
3829,Gary's Foods / Mt Vernon,A,715  1st Ave S,Mount Vernon,IA,52314,"715 1st Ave S
Mount Vernon, IA 52314
(41.916708, -91.422487)",10/01/2018
3830,Wal-Mart 1435 / Creston,A,806 Laurel St,Creston,IA,50801,"806 Laurel St
Creston, IA 50801
(41.047714, -94.372786)",10/01/2018
3841,Hartig Drug Company #2 / Locust,A,157 Locust St,Dubuque,IA,52001,"157 Locust St
Dubuque, IA 52001
(42.495308, -90.665439)",10/01/2018
3842,Bancroft Liquor Store,A,107 N Portland St Po Bx 222,Bancroft,IA,50517,"107 N Portland St Po Bx 222
Bancroft, IA 50517
(43.29355, -94.218)",10/01/2018
3845,Otho Convenience and Food,A,210 North Hwy,Otho,IA,50569,"210 North Hwy
Otho, IA 50569
(42.422303, -94.150427)",10/01/2018
3849,Hartig Drug Co #6 / Dyersville,A,711  16th Ave SE,Dyersville,IA,52040,"711 16th Ave SE
Dyersville, IA 52040
(42.470285, -91.116087)",10/01/2018
3853,Ram Liquor Mart,I,3108 West Central Park Ave #2,Davenport,IA,52804,"3108 West Central Park Ave #2
Davenport, IA 52804
(41.545421, -90.620282)",10/01/2018
3855,Dyno's Wine and Spirits / Storm Lake,A,1201 1/2 Lakeshore Dr,Storm Lake,IA,50588,"1201 1/2 Lakeshore Dr
Storm Lake, IA 50588",10/01/2018
3857,Quillins Food Ranch / Waukon,A,9th St SW B,Waukon,IA,52172,"9th St SW B
Waukon, IA 52172",10/01/2018
3858,Harolds Jack N Jill / Davenport,A,6723 NW Blvd Unit 2,Davenport,IA,52806,"6723 NW Blvd Unit 2
Davenport, IA 52806
(41.589369, -90.609747)",10/01/2018
3859,Wal-Mart 0750 / Independence,A,302 Enterprise Dr SW,Independence,IA,50644,"302 Enterprise Dr SW
Independence, IA 50644
(42.450709, -91.892924)",10/01/2018
3864,Hometown Foods / Schaller,I,201 S Main St Po Bx 40,Schaller,IA,51053,"201 S Main St Po Bx 40
Schaller, IA 51053
(42.499481, -95.29346)",10/01/2018
3866,Target Store T-1170 / Ames,A,320 S Duff,Ames,IA,50010,"320 S Duff
Ames, IA 50010
(42.019875, -93.610363)",10/01/2018
3868,Wal-Mart 3630 / Marion,A,5491 Business Hwy 151,Marion,IA,52302,"5491 Business Hwy 151
Marion, IA 52302",10/01/2018
3869,Bootleggin' Barzini's Fin,A,412  1st Ave,Coralville,IA,52241,"412 1st Ave
Coralville, IA 52241
(41.672672, -91.565517)",10/01/2018
3870,Target Store T-1939 / Altoona,A,3414 8th St SW,Altoona,IA,50009,"3414 8th St SW
Altoona, IA 50009
(41.644024, -93.503783)",10/01/2018
3871,Target Store T-0069 / Wdm,A,1800  35th St,West Des Moines,IA,50266,"1800 35th St
West Des Moines, IA 50266
(41.598813, -93.751998)",10/01/2018
3882,Kwik Shop #579 / Davenport,A,2805 Telegraph Rd,Davenport,IA,52802,"2805 Telegraph Rd
Davenport, IA 52802
(41.519005, -90.621718)",10/01/2018
3888,Wal-Mart 0647 / Grinnell,A,415 Industrial Ave,Grinnell,IA,50112,"415 Industrial Ave
Grinnell, IA 50112
(41.720919, -92.730259)",10/01/2018
3889,Wal-Mart 1005 / Waverly,A,700  29 St SW,Waverly,IA,50677,"700 29 St SW
Waverly, IA 50677
(42.700321, -92.478899)",10/01/2018
3890,Smokin' Joe's #7 Tobacco and Liquor Outlet,A,904  1st Ave NW,Cedar Rapids,IA,52405,"904 1st Ave NW
Cedar Rapids, IA 52405
(41.972773, -91.683669)",10/01/2018
3891,"Wild Rose Emmetsburg, Llc",A,777 Main St,Emmetsburg,IA,50536,"777 Main St
Emmetsburg, IA 50536
(43.111987, -94.663246)",10/01/2018
3907,Smokin' Joe's #16 Tobacco and Liquor Outlet,A,1504 Park Ave,Muscatine,IA,52761,"1504 Park Ave
Muscatine, IA 52761
(41.442458, -91.030569)",10/01/2018
3908,County Market #214 / Fort Madison,I,11802 Avenue H,Fort Madison,IA,52627,"11802 Avenue H
Fort Madison, IA 52627",10/01/2018
3909,D And S Grocery,A,104 SE  A St,Melcher-Dallas,IA,50163,"104 SE A St
Melcher-Dallas, IA 50163
(41.222471, -93.241634)",10/01/2018
3910,Riverside Casino And Resort,A,3184 Highway 22,Riverside,IA,52327,"3184 Highway 22
Riverside, IA 52327
(41.496387, -91.531499)",10/01/2018
3912,Smokin' Joe's #14 Tobacco and Liquor Outlet,A,225 Edgewood Rd,Cedar Rapids,IA,52405,"225 Edgewood Rd
Cedar Rapids, IA 52405
(41.973737, -91.715944)",10/01/2018
3916,Smokin' Joe's #5 Tobacco and Liquor Outlet,A,1115 Albia Rd,Ottumwa,IA,52501,"1115 Albia Rd
Ottumwa, IA 52501
(41.009342, -92.437224)",10/01/2018
3917,Smokin' Joe's #2 Tobacco and Liquor Outlet,A,1606 W Locust St,Davenport,IA,52804,"1606 W Locust St
Davenport, IA 52804
(41.538254, -90.599037)",10/01/2018
3918,Smokin' Joe's #1 Tobacco and Liquor Outlet,A,3120 Rockingham Rd,Davenport,IA,52802,"3120 Rockingham Rd
Davenport, IA 52802
(41.510082, -90.621541)",10/01/2018
3920,Smokin' Joe's #11 Tobacco and Liquor Outlet,A,1606 Camanche Ave,Clinton,IA,52732,"1606 Camanche Ave
Clinton, IA 52732
(41.827845, -90.204748)",10/01/2018
3942,Twin Town Liquor,A,104 Highway 30 West,Toledo,IA,52342,"104 Highway 30 West
Toledo, IA 52342
(41.985985, -92.579446)",10/01/2018
3944,Sam's Club 4973 / Dubuque,A,4400 Asbury Rd,Dubuque,IA,52002,"4400 Asbury Rd
Dubuque, IA 52002
(42.515289, -90.737821)",10/01/2018
3947,Seaton's Flag Foods,I,122 A EAST FRONT ST,Brooklyn,IA,52211,"122 A EAST FRONT ST
Brooklyn, IA 52211
(41.728699, -92.444377)",10/01/2018
3949,Wal-Mart 0751 / Pella,A,1650 Washington St,Pella,IA,50219,"1650 Washington St
Pella, IA 50219
(41.410379, -92.933676)",10/01/2018
3950,Hometown Foods / State Center,I,120 E Main St,State Center,IA,50247,"120 E Main St
State Center, IA 50247
(42.016845, -93.162349)",10/01/2018
3957,Karl's Grocery Store,A,101 West Madison,Edgewood,IA,52042,"101 West Madison
Edgewood, IA 52042
(42.64539, -91.401487)",10/01/2018
3959,Hartig Drug Company #8/University,A,1600 University Ave,Dubuque,IA,52001,"1600 University Ave
Dubuque, IA 52001
(42.498279, -90.688027)",10/01/2018
3963,Tobacco Hut #14 / Council Bluffs,A,1925 W Broadway,Council Bluffs,IA,51501,"1925 W Broadway
Council Bluffs, IA 51501
(41.261866, -95.873073)",10/01/2018
3964,Sioux Food Center of Sioux Rapids,A,621 Hwy 71,Sioux Rapids,IA,50585,"621 Hwy 71
Sioux Rapids, IA 50585
(42.888845, -95.152677)",10/01/2018
3968,Monroe Liquor,I,105 W Sherman Po Bx 1023,Monroe,IA,50170,"105 W Sherman Po Bx 1023
Monroe, IA 50170",10/01/2018
3970,"The Liquor Cabinet, Inc.",I,"835 6 ST, STE 1",Nevada,IA,50201,"835 6 ST, STE 1
Nevada, IA 50201
(42.019292, -93.452277)",10/01/2018
3972,Hometown Foods / Hubbard,I,210 Maple St Box 295,Hubbard,IA,50122,"210 Maple St Box 295
Hubbard, IA 50122
(42.305556, -93.298266)",10/01/2018
3973,MMDG SPIRITS / Ames,A,126A Welch Ave,Ames,IA,50014,"126A Welch Ave
Ames, IA 50014
(42.021789, -93.650131)",10/01/2018
3980,Wal-Mart 1721 / Iowa City,A,919 Hwy 1 West,Iowa City,IA,52246,"919 Hwy 1 West
Iowa City, IA 52246
(41.646646, -91.552125)",10/01/2018
3981,Wal-Mart 1152 / Sioux Center,A,255 16th St SW,Sioux Center,IA,51250,"255 16th St SW
Sioux Center, IA 51250
(43.060881, -96.179835)",10/01/2018
